id,topic,summary
449,Apology,Ross apologizes to #Mona because he was there to apologize for Rachel. #Mona tells him that #Mona still has feelings for him and she wishes that they can work it out. #Mona tells Ross that they have to be strong.
450,,
451,A tie,#Chandler and Monica have a tie again. Monica insists on having two more points to beat him. #Chandler agrees to take her in sickness and in health.
452,The lobster,#Joey# and #Rachel# talk about the lobster. #Rachel# was sick all night and #Joey# stayed in his room.
453,A naked hooker,#Chandler# is shocked to see a naked hooker in the club. #Joey# thinks she's a hooker.
454,Go out with a guy,#Phoebe# and Rachel argue about #Rachel# going out with some random guy. #Phoebe# tells her to tell Roger because he was really looking forward to it.
455,Hanging out,Julie and Rachel are hanging out. Julie tells Rachel she's intimidated by Rachel and she's scared of her. Rachel thinks Julie's afraid of her because Ross is crazy about her. Julie wants to go to a movie with Rachel.
456,Find the perfect ring,#Phoebe# finds the perfect ring for Chandler but the guy bought it. #Phoebe# tells Chandler she tried to stop it but they put her in jail.
457,Break up,#Rachel# and #Barry# are talking about breaking up with Mindy. #Rachel# asks #Barry# to break it off with her. #Barry# refuses and says #Rachel# had a bra.
458,A boyfriend with a girlfriend,Rachel is shocked to see that her boyfriend has a girlfriend. She wants to know why he has a girlfriend.
459,Glaucoma test,#Rachel# is scared of the glaucoma test. #Dr. Miller# explains the test to #Rachel# and tells her to sit down.
460,Halloween party,#Phoebe and #Joey are going to a Halloween party. #Phoebe tells #Joey that they can come back and haunt the people who are having a party.
461,Kissing,#Phoebe# calls Robert to tell him that #Chandler# kissed her.
462,A mail cubby,Joey tells Chandler that he's building a mail cubby in the entertainment unit. Chandler thinks it's a one-day job.
463,Cheesecake discussion,#Rachel# and Chandler are talking about their cheesecake. Rachel says she forgot what it tastes like and Chandler says he doesn't want to eat it again. They decide to go to Momma's Little Bakery.
464,Gift exchange,Rachel opens the presents from Chandler and Monica. Chandler jokes that she is not a grandmother because she doesn't have any of those things. Monica says it's funny because Rachel doesn't have any of those things.
465,Boobies,Joey tells Phoebe that he was mistaken and he was going to Rachel Green's house.
466,Have fun,Ross is angry because he lost his puck. Joey thinks Ross is a freak because Ross has only had sex with one woman. Chandler thinks Ross had fun because Ross had fun in Silence of the Lambs.
467,Job stuff,#Rachel# is going to get one of those job things.
468,Stripper for shower,#Phoebe# orders a stripper for the shower and #Mrs. Green# apologizes. #Phoebe# tells #Mrs. Green# the stripper will be dressed as a baby and #Monica# thinks it's inappropriate.
469,Dilatation of cervix,Julie's cervix is dilated a seven centimeters. #Rachel# thinks it's okay.
470,Check the cervix,Julie asks Ross to check Rachel's cervix.
471,Wedding ceremony,Ross and Rachel are talking about their wedding. Rachel doesn't want to do the traditional wedding ceremony and wants to do something different. Ross agrees with her.
472,Fatherless child,#Rachel# tells #Ross# #Rachel# has no father.
473,Feed the cat,#Rachel# tells #Monica# that #Phoebe# and #Chandler# can't turn on each other.
474,A bridal shower,#Monica# calls #Rachel# and #Phoebe# to apologize for forgetting to throw Monica a bridal shower. #Rachel# and #Phoebe# tell Monica the shower was ruined because #Phoebe# and #Rachel# didn't invite her. Monica gets to spend her shower with the only people she really loves.
475,Ping pong game,"#Monica, #Mike, and #Chandler are talking about the paleontologists who are playing ping pong downstairs. #Monica says #Monica's competitive but #Chandler says #Monica's bad. #Monica says she punched #Chandler's head and Phoebe clunks it together."
476,Fire in the aroma room,#Ross# and Monica tell Phoebe about the fire in the Aroma Room. Phoebe is shocked to see the Foster puppets under the water.
477,A conversation,Ross tells Phoebe that he likes Bonnie and is going out with her. Phoebe thinks Ross is too in love and asks Ross to talk about anything else. Ross tells Phoebe that he's conducting an experiment and his butt will be smack free.
478,Talk about marriage,Chandler and Joey talk about marriage and the website. Monica thinks it's crazy. Chandler thinks it's good to know.
479,Run into a friend,Dana tells Chandler that she ran into her friend Howie who is editing her new movie. Chandler tells Dana that he hates Howie and thinks he is a jerk.
480,Tell about boyfriend,#Ross# and #Tag# meet and #Ross# tells #Tag# about Rachel's boyfriend.
481,Fool around,#Rachel# and Monica talk about Joey. Monica thinks it's weird that Rachael can't get the dream out of her head and thinks it's weird that Rachael is thinking about Joey.
482,Fire alarm,#Phoebe# finds the fire alarm in the trash chute and the fireman tells her it's not hers. She asks for a search warrant and the fireman tells her there's a reset button. #Phoebe# finds it and realizes there's a reset button.
483,Phone problem,"Joey calls Ross to ask him to use his phone to call Sidney, but Ross tells him he turned it off. Joey then asks Phoebe to help him find Sidney."
484,Get an appointment,#Joey asks the receptionist how long it will take to get an appointment with the doctor.
485,Report a robbery,Ross calls the police to report a robbery.
486,Health insurance lapsed,#Joey's health insurance expired because he didn't work enough last year. #Chandler tells him the insurance lapsed because #Joey didn't work enough. #Joey is disappointed and angry. #Chandler advises him to get a job.
487,Baby talk,#Monica thinks Phoebe will have her babies.
488,Talk about the house,#Chandler# and #Monica# talk about the house. #Chandler# thinks it's beautiful. #Monica# asks #Chandler# about women.
489,Central park trip,#Ross# and #Monica# are talking about their trip to Central Park. #Ross# says it was fun.
490,Work out,Monica tells her friend that she's going to the gym to work out.
491,Ross's wedding,#Ross# and #Phoebe# are talking about #Ross#'s wedding. #Ross# tells #Phoebe# he's really gonna miss #Ross#'s wedding.
492,Dry hands,#Joey and #Rachel dry #Ross' hands.
493,Sex talk,Rachel and Monica are having sex. Rachel thinks Monica is the talker while she thinks she is the one who talks the most. Rachel has to go to the store to buy some more tissues for Monica.
494,Pick up things,Phoebe tells #Mike# she is going to Triple A to pick up some things.
495,Town information,#Phoebe# asks #Monica# about the town they are in.
496,A rest stop,#Rachel# and Phoebe are at a rest stop on Route 27. Monica suggests calling Ross to get a car to pick them up. Rachel refuses to get in a car with Ross.
497,Barium enema,#Joey# tells Chandler that he saw a barium enema. Chandler tells him that he's wrong.
498,Look at the future,#Monica# and Chandler are looking at a photo of their future. #Monica# thinks it's not good.
499,Find love,#Rachel# and #Phoebe# are confident that Monica and Chandler will find love. #Rachel# thinks it's better to make a deal with a backup than to make a deal with a friend. #Phoebe# tells #Rachel# that Joey has a different idea.
500,Movie talk,#Joey and #Chandler are talking about going to watch a movie.
501,Talk about Joey,#Tag# tells Rachel #Tag#'s had fun with Joey last night. #Tag# got 20 phone numbers last night and got hooked up with old women.
502,New job,"#Rachel, Monica, and Phoebe are talking about #Phoebe's new job. They are proud of her."
503,Get married,#Chandler# and #Monica# are planning to get married tonight. #Chandler# thinks they should take it as a sign and they do it.
504,Press on stomach,Joey is proud of himself and wants to press on his stomach. Rachel and Monica offer him some meat. He asks for a bigger piece.
505,Move in,Ross asks Phoebe to move in with him for a couple days because Monica and Chandler just got engaged. Phoebe thinks it's urgent and asks Ross to move in with her. Ross thinks Phoebe is rude and asks for a classmate to come to the movies.
506,Relationship change,Ross and Rachel are talking about their relationship. Ross thinks that Rachel is different from before. Rachel thinks Ross has changed.
507,Dating and relationship,#Monica# tells #Rachel# #Monica# has changed the belt and #Monica# is out of control. #Rachel# asks #Monica# whether tonight is the night. #Monica# says #Monica# has been dating this guy since midterms.
508,A line reading,Joey is asked to do a line reading for a noodle soup. Joey tries to do it one more time but Raymond tells him to move on.
509,Hospital check-in,Rachel wants to give some money to the hospital because they are saving rooms for important people. Ross thinks they're out of rooms and asks the nurse to check again. Rachel thinks the tone is bad and asks the nurse to see a semi-private room.
510,Jet lag,Ross tells Kristin that dogs experience jet lag. Ross thinks that dogs lose a week and a half when they fly from New York to Los Angeles.
511,Lose someone,#Rachel# tells Ross that she lost Marcel.
512,Cell phone stealing,#Rachel# tells #Phoebe# that #Rachel# stole the cell phone from #Phoebe# in the coffee house. #Phoebe# denies it. #Rachel# then shows #Phoebe# the features of #Phoebe#'s new ringing handbag.
513,Missing contracts,Rachel asks Tag to check the copy room because the contracts are missing.
514,Host the party,#Joey# is the host of the party. #Stage Director# tells #Joey# to answer the phone and take pledges.
515,Hate a person,Monica and Phoebe are talking about Gunther's date with Joey. Monica thinks it's hard to hate Joey but Phoebe thinks it's hard to hate Gunther.
516,Shopping for boots,#Monica asks #Chandler to get her some boots. #Chandler tells her the price and #Monica apologizes.
517,A fight,#Phoebe# and #Monica# are having a fight. #Phoebe# wants to cover #Monica# back up and #Monica# refuses.
518,Acting and directing,#Joey and #Kate are talking about #Joey's acting. #Joey thinks #Kate's supposed to be Vic. #Kate thinks #Joey's supposed to be Vic too.
519,Sex and falling asleep,#Monica# and #Chandler# had sex and then they fell asleep. #Monica# thinks #Chandler# is lying.
520,Knitting bag,Phoebe tells Joey and Ross that her knitting bag is moving.
521,A soap opera actor,"#Joey# tells #Joey# has had an opportunity to screw over another soap opera actor. #Joey# advises a fellow actor to play a role, homosexually. #Joey# is ashamed to say #Joey# took it and #Joey# is stuck here teaching a bunch of people."
522,Nomination for a play,Rach tells Phoebe that she's nominated for a Neil Simon play and she's surprised. Phoebe tells her that they have to go.
523,Being an aunt,"Ross, Monica, Joey, and Chandler are excited about being an aunt. Rachel is also excited about being an aunt. Phoebe is out of sorts and tells Ross that Paolo made a move on her."
524,Judgmental people,Phoebe thinks Joey was a little judgmental and realizes that she was a little judgmental too. She tells Joey she was judgmental and asks him to make room for the fresh ones.
525,Personality of gilfs,"#Monica, #Rachel, and #Phoebe talk about George's personality. #Monica thinks he's shy and #Rachel thinks he's a preppy animal."
526,Famous people,Ross is a big fan of Isabella and wants to sleep with her. Isabella thinks Ross is flattering but Ross says it's flattery. Ross shows Isabella the list of five famous people and Isabella is not on the list. Ross says Isabella was bumped for a local coffee house guy.
527,A relationship,Phoebe and Monica talk about their relationship. Phoebe thinks Monica can't live without the Chan Love.
528,Invitation,#Rachel# is invited to Joey Tribbiani's apartment and #Rachel# is surprised that he invites her back. #Rachel# thinks #Rachel# is one of the many girls he invites back. #Monica# asks #Rachel# if #Rachel# is married.
529,Jill and ross,#Ross# thinks Jill is trying to use him to get back at #Rachel# because she thinks he is a good listener. Jill thinks Ross is wrong.
530,Find the father,"#Phoebe Sr. tells #Phoebe that #Phoebe's father is Chuck Magioni, but #Phoebe doesn't know where he is. #Phoebe Sr. tells #Phoebe that #Phoebe's mother is #Phoebe's father."
531,An accent,Ross is nervous and the accent just came out. Rachel is angry with him. Ross apologizes and Rachel gives him another chance.
532,A walk,Joe and Chandler go for a walk. Joe wants to see the hot nanny but Chandler forbids him. Joe thinks it's interesting and tells Chandler the story of a great novel.
533,Distract the assistant,#Rachel# distracts Betty with chocolates and #Mr. Zelner# comes to talk with her.
534,Stay at a house,#Phoebe# invites Cassie to stay at her house. Cassie thanks Phoebe for the invitation.
535,Computer problem,#Pete# asks #Hoshi# about #Hoshi#'s computer problem. #Hoshi# tells #Pete# #Hoshi# has to wait an hour and a half to call the computer support line.
536,A man and a woman,#Monica and Rachel are talking about the reason why #Monica wants to go out with Chip Matthews. #Monica thinks that she owes #Monica because #Monica's fat girl inside of her wants to go out with him. #Rachel thinks #Monica should leave him somewhere and go have sex with another guy.
537,Dance with a girl,"#Joey# wants to talk to Tall Guy about the girl #Joey# is dancing with. #Joey# thinks #Joey# can dance with Tall Guy's partner, but Tall Guy thinks #Joey# can't."
538,A twin,Ross and Rachel are watching a movie. Ross thinks Phoebe's twin is weird and Rachel thinks Ross bought his sheets at a flea market.
539,New boyfriend,Ross and Rachel are talking about Rachel's new boyfriend. Ross thinks Rachel's boyfriend is unattractive but Rachel thinks he's hot.
540,Help a friend,#Monica# is worried about #Ugly Naked Guy# laying kitchen tile. #Joey# asks #Monica# to help him.
541,Sex life,#Ross# and #Carol# talk about their sex life. #Ross# thinks they should spice things up a little. #Ross# suggests they try some new things for fun and #Ross# suggests they try dirty talk.
542,Putting everybody in the diner on skates,"#Rachel#, Monica, Phoebe, and Gunther are in the diner on skates. Monica suggests putting everybody in the diner on skates. Phoebe made a suggestion and it was accepted."
543,Pregnancy announcement,#Rachel# calls Joshua to tell him that she is pregnant.
544,A relationship,Joshua tells Rachel that he is not ready for a relationship. Rachel tells him he is ready and they go inside to have some coffee.
545,Dish with potatoes,Ross wants lumps of potatoes because he wants to make a dish with them. Phoebe tells Monica that Ross wants lumps of potatoes because he wants to make a dish with them. Rachel is worried about the cartoon character Underdog that got away.
546,Observing a dance class,"#Monica# and #Joey# are observing a dance class. #Monica# thinks #Teacher# is the one who could be #Monica#, but #Joey# thinks #Teacher# could be #Rachel# because #Rachel# is the one who can't coordinate her body."
547,Mental illness,#Rachel# and #Barry# are talking about #Rachel#'s mental illness. #Barry# thinks it's not so bad and #Rachel# thinks it's not so bad either.
548,In the bedroom,#Chandler# and #Monica# are relaxing in the bedroom. #Chandler# says they have adjoining rooms. #Monica# tells #Chandler# to reserve the chairs and get the magazines and lotion.
549,Joey's research,"#Joey# wants to donate some fluids and #Receptionist# tells #Joey# there's no studies #Joey# can participate in. #Joey# asks #Receptionist# about the twins study and #Receptionist# tells #Joey# it's $2,000."
550,,
551,Cooking food,#Phoebe# and #Monica# are talking about their food. #Phoebe# is full from #Monica#'s homemade potato chips and #Phoebe# is still full from #Monica#'s homemade cookies. #Phoebe# is going to eat them in a second.
552,Agree to go out,"Julie, Chandler, Monica, and Joey are talking about the smell of monkey in the apartment. They decide to go out and get some fresh air."
553,Be on camera,"#Monica, #Ross, and #Joey are on a set to be filmed. #Monica tells them that they have to get up on the platform to be filmed. #Monica says they should put on their underpants. #Janine tells them to loosen their hips. #Joey thinks #Monica is dancing with the tall guy and #Monica thinks #Joey has a shot."
554,Ross and Monica,#Rachel# is looking out the window at the view. #Chandler# tells her Ross is on a date with Monica. #Rachel# thinks it's weird.
555,Break-up,#Ross# and #Elizabeth# are talking about the break-up. #Ross# thinks #Elizabeth# sucks.
556,Hit and kick,"Ross comes to Joey's house to apologize for hitting him. Joey asks Ross to kick him, but Ross refuses."
557,Ask for a date,#Katie# tells Ross that the delivery went out to him and he realized they forgot this. #Katie# asks Ross out.
558,A fling,#Rachel# tells #Chandler# that she had a great time last night with Patrick. #Chandler# thinks #Rachel# is looking for a fling. #Rachel# tells #Chandler# that #Chandler# told Patrick that she was looking for a fling.
559,Dream of nakedness,#Chandler# is back in high school and realizes he is totally naked. He looks down and sees a phone.
560,Fried food,Joey asks for his favorite fried food. Monica gives him fried stuff with cheese.
561,Underdog's head,Monica and Joey are talking about Underdog's head that's flopping down Broadway. Monica thinks it's inappropriate and they should check it in the light. Joey thinks they should break it up between the two of them.
562,Graduation song,Ross and Rachel are getting married. Chandler is singing the graduation song. Monica asks Chandler to stop.
563,Surrogate,#Rachel# tells #Monica# she would be a surrogate for anyone.
564,Buying electrical plans,#Rachel# tells #Monica# that Joshua came into work today and felt his pulse. #Rachel# bought electrical plans for the building and #Monica# thinks it's weird.
565,Judging others,"Janice tells Rachel, Phoebe and Monica that Chandler is in the hospital. They all think it's a good thing. Janice asks them to take a moment before judging her."
566,Buy a house,#Ross# wants to buy a house in the city. #Ross# asks #Ross#'s friend for advice.
567,Business plan,Ross is very disappointed with his plan to make a deal with a Chinese company.
568,Movie theater,Ross and Monica are going to the movie theater. Monica thinks Phoebe is attracted to Chandler. Ross thinks Phoebe is trying to freak them out.
569,Dark room,#Elizabeth# is freaked out by #Ross#'s long stay in the dark room. #Ross# tells #Elizabeth# to turn off the lights.
570,Go to the gym,#Monica# invites #Ross# to go to the gym. #Ross# is reluctant to go but #Monica# persuades him.
571,A naked man,Joey is trying to save a naked man from death by poking him with a device. Rachel and Ross think he's dead but Joey insists he's alive.
572,Contraction,"Ross is trying to ignore the contraction, but Rachel is looking at him. He tells her he's just going to ignore them."
573,Game show hosts,"Phoebe and Rachel are talking about game show hosts. Rachel says she can easily get out of this but there is a chance she can get very, very hurt."
574,Lose the curler,#Joey and #Chandler are talking about #Joey's lost eyelash curler. #Monica borrows it and tells #Joey that it happened in London. #Joey is not happy and tells #Chandler that he can't tell anyone. #Chandler tells #Joey that it's unbelievable.
575,Teacher's name,Julie tells Rachel her teachers in second grade and first grade were Ms. Thomas and Mrs. Cobb.
576,Flipping for the baby,#Chandler# and #Joey# are flipping for the baby. #Chandler# calls it in the air and assigns heads to something.
577,Acting tricks,#Joey# tells #Joey# tricks of the trade to #Student# to act in a soap opera.
578,New apartment,#Mr. Heckles' new apartment is next door to Chandler's new apartment. Chandler tells #Mr. Heckles that he'll be his new roommate. #Mr. Heckles thinks it's weird.
579,Find a guy,#Chandler and #Phoebe find a guy who looks like #Chandler.
580,Find the presents,#Phoebe# thinks birds have a good sense of direction and thinks they can help find the presents.
581,Suggestions for entertainment,Phoebe suggests following Or's clever jokes.
582,Work and party,Phoebe tells her friend that she can't go to the party because she has to work.
583,Look for presents,"Monica, Phoebe, Rachel, and Chandler are looking for presents. Phoebe thinks Monica got Chandler garbage and Rachel thinks the bench is hollow."
584,Engagement ring,#Mrs. Geller# comes to #Ross#'s house to tell #Ross# that she wants to give #Ross# his grandmother's engagement ring to Rachel. #Ross# thinks it's too late and doesn't want it.
585,Accident discussion,Ross and Phoebe are talking about Ross' accident. Phoebe thinks Ross doesn't deserve this and Ross is so good and kind. Ross says he can't get his foot out of the pocket.
586,Car loan,Rachel calls Mark to ask for a favor. She wants to borrow his car to go to the airport to pick up her mother.
587,Job offer,Rachel and Mark talk about the job offer. Rachel is happy because she got the job.
588,Forget things,#Monica and #Chandler are talking about #Chandler's bad habit of forgetting things. #Monica thinks #Chandler is not good at it.
589,The universe,Phoebe tells #Earl# that she was in Philadelphia and met a guy. #Earl# thinks the universe cares about #Earl#.
590,Ballroom dancing finals,Ross and Phoebe are having a good time in the subway. Kyle asks Ross to go with him to the ballroom dancing finals. Phoebe thinks it's lame but Ross thinks it's crazy. Ross thinks he can divert Whitney but Phoebe thinks he can't.
591,International news,Ross asks for international news. Chandler tells him he's done with this.
592,Crazy friend,Ross and Joey are talking about their friend who went crazy. Ross thinks he lost his mind. Phoebe thinks Ross is crazy.
593,A fight,#Phoebe# and #Robert# are talking about #Ross# and #Chandler# who are having a fight. #Phoebe# thinks #Ross# is great and #Robert# thinks #Ross# is nuts.
594,Coma patient,#Joey# has lost his other job and is in a coma. Dr. Stryker Ramoray comes to see him.
595,Kick the plane,#Monica# tells #Chandler# that #Chandler# kicked her on the plane. #Chandler# tells her to walk and #Monica# tells #Chandler# not to get into it again.
596,,
597,Read a story,#Chandler# reads a story that makes him cry and #Monica# tells him she loves him.
598,Fake Ben,Ross tells Monica that he's going to make a fake Ben.
599,Candy stealing,Monica is totally empty of candy. Joey tells her the neighbors ate it. Ross tells Monica he stole the newspaper.
601,Cute baby,#Phoebe# and #Rachel# are looking for George in the park. #Phoebe# thinks he is cute and #Monica# thinks he is cute too. #Rachel# and #Monica# want to see him.
602,Meet a guy,"#Monica# tells #Angela# about #Bob# who is smart, funny, and has an emotional age beyond eight. #Angela# thinks #Bob# is unbelievable in bed."
603,Hanukkah story,Ross tells Ben about the miracle of the oil that burned for eight days and the end of the story.
604,Tell a friend,#Pete# tells #Phoebe# that #Pete# quit his job because #Pete# is still in love with Monica. #Phoebe# thinks #Pete# is still in love with Monica and tells #Pete# not to tell Monica.
605,Meet the friends,Ross tells Julie that he can't wait for her to meet his friends.
606,Introduce yourself,#Steve# introduces himself to #Monica# and #Ross# because #Ross# is #Steve#'s lawyer. #Steve# tells #Monica# that #Ross# is a lawyer and #Monica# thinks #Steve# can't be a lawyer because he's eight.
607,Smoking and cancer,"Ross tells Chandler that smoking is cool, but Chandler thinks Ross is wrong. Chandler tells Ross that smoking is not cool and Ross agrees."
608,Party for Monica,Ross tells the guys that he has the definitive one. Joey thinks Ross should throw a party for Monica.
609,A serious relationship,"serious about it. I want to be with him.
#Rachel#: Well, I'm not sure that's such a good idea.
#Jim#: Why not?
#Rachel#: Well, I mean, you know, you're not really serious about your job.
#Jim#: I am serious about my job.
#Rachel#: You're not serious about your relationship with Ben.
#Jim#: I am serious about my relationship with Ben.
#Rachel#: You know, you're not serious about your relationship with me.
#Jim#: I am serious about my relationship with you.
#Rachel#: Well, I'm not sure that's such a good idea.
#Jim#: Why not?
#Rachel#: Well, you know, I'm not sure that you're serious about your relationship with Ben.
#Jim#: I am serious about my relationship with Ben.
#Rachel#: You know, you're not serious about your relationship with me.
#Jim#: I am serious about my relationship with you.
#Rachel#: You know, you're not serious about your relationship with me.
#Jim#: I am serious about my relationship with you.
#Rachel#: You know, you're not serious about your relationship with me.
#Jim#: I am serious about my relationship with you.
#Rachel#: You know, you're not serious about your relationship with me.
#Jim#: I am serious about my relationship with you.
#Rachel#: You know, you're not serious about your relationship with me.
#Jim#: I am serious about my relationship with you.

### Response:
# Summary:
Jim is serious about his job and Ben. Rachel thinks he's not serious about his relationship with Ben. Jim is serious about his relationship with Ben. Rachel thinks he's not serious about his relationship with her."
610,Performance talk,#Ross# and #Charlie# are talking about the performance. #Ross# thinks #Charlie# was great and #Ross# was mouthing the words along with #Charlie#.
611,Take Rachel's place,Ross asks Monica to take Rachel's place. Monica says she's okay but Rachel is fine. Ross tells Monica to take Rachel's place.
612,Find joey,"#Joey# is surprised that the actor playing Mac couldn't do it, so #Chandler# went all over New York City to find #Joey# and tells #Joey# the actor couldn't do it."
613,The day of death,#Ross# is going to die on the day #Ross# has shuffleboard. #Phoebe# thinks it's because #Ross# has friends of #Ross#'s grandmother's who would know the recipe. #Monica# can't believe #Ross# didn't know the recipe.
614,Quitting smoking,"#Rachel, #Nancy, and #Kim are talking about quitting smoking. #Rachel thinks it's possible but #Nancy and #Kim think it's impossible. #Rachel suggests they quit together."
615,A contest,Chandler thinks he has a flaw and asks Monica and Rachel to see it. Monica thinks it's endearing and Rachel thinks it's annoying. Rachel thinks Monica should accept Chandler for his flaw.
616,Death of a celebrity,Joey tells Monica that Mel Torme died. Monica asks why he's telling her that.
617,Suicide talk,Monica and Phoebe are talking about Rachel's suicide. Monica thinks Rachel's probably not going to kill herself. Phoebe thinks Monica should take care of herself.
618,Introduce a man,#Janice# introduces Aaron Litman-Neurolic to Rachel.
619,Raise a child alone,#Rachel# tells #Janice# that Ross will get a divorce when he meets somebody else and gets married. #Janice# thinks it's impossible.
620,Good luck in the interview,Phoebe tells Tim good luck and wishes him good luck in his interview.
621,New people,#Rachel# and #Ross# talk about the Disgustingtons' new baby.
622,Randy guy,Rachel is talking about the guy she saw in the window. Rachel thinks he's attractive but Phoebe thinks he's not attractive at all. Rachel thinks she's been randy lately and Phoebe thinks she was thrice as randy.
623,A wedding ring,#Joey# calls the company that sent the ring and the company doesn't care. Then #Ross# thanks #Joey# for the party and tells #Joey# that the guys from work had a great time. #Ross# tells #Joey# the ring is irreplaceable and the ring has been in the family for generations.
624,,
625,Dating problem,#Ross# and #Joey# discuss the problem of dating #Joey#'s friend. #Ross# thinks #Joey# should date her friend but #Joey# thinks #Joey# should do what #Joey# does on dates. #Ross# suggests a spending limit.
626,Invite someone,#Monica# invites #Joey# to have some lemonade. #Joey# is surprised by the great place and the hot and humid weather.
627,Poetry knowledge,Phoebe asks her friend about her poetry knowledge.
628,Lost and found,Joey finds a lost car key and asks Gunther to put it in the lost and found. Monica tells Joey to leave a note on the windshield.
629,Funny clown,"Carol tells Ross that Funny Clown is only for after his naps, not before his naps or he won't sleep. Ross thinks it's great and Susan thinks it's clever. Monica tells Ross that Eddie Moskowitz thinks Funny Clown reaffirms his faith."
630,Fire accident,Phoebe and Monica are baking a pie for Joey's best guest. Joey tells Phoebe that the fire was caused by candles.
631,Accept the proposal,"Rachel tells Joey that she accepted his proposal.

##"
632,Engagement,#Monica# and #Rachel# are talking about #Rachel#'s engagement to Joey. #Monica# thinks it's inappropriate and wrong. #Rachel# thinks it's wrong too but she loves Joey. #Monica# tells #Rachel# to tell Joey that she doesn't want to marry him.
633,Wedding talk,Monica and Rachel are talking about their wedding. Phoebe asks Monica and Rachel about their wedding. Monica says she's happy for her and Rachel says Chandler has come back.
634,Teach the kid,#Ross# is angry with #Rachel# because #Rachel# teaches Ben stuff he doesn't need to know. #Rachel# says #Ross# can't be angry with her because #Ross# doesn't have any brothers or sisters.
635,First class lounge,#Monica and Chandler are going into the first class lounge. #Chandler acts like he belongs and #Monica acts like she belongs.
636,Have a plan,#Rachel# tells #Phoebe# that #Rachel# realized it was stupid to get upset about not having a husband and kids. #Rachel# wants to have three kids and the first one by the time #Rachel# is 35.
637,Cheating on a girlfriend,Ross tells Joey that he sent the flowers before the actual date. Joey thinks Ross is cheating on her and decides to break the rules.
638,Sell the house,#Mr. Geller's dad is selling the house. #Ross' dad wants to move into the house and #Ross' mom wants to stay. #Mr. Geller tells #Ross' dad that the house is sold and they have to move out.
639,Hospital worker,Ben is a hospital worker and he rescues Phoebe.
640,Interview for job,#Mr. Posner# interviews Rachel and Joanna. Joanna thinks Rachel has been an incredible mentor to her. Rachel thinks she can cultivate personal relationships and loves working with designers. Joanna thinks Rachel shouldn't have a problem with that.
641,Ask questions,Chandler tells Rachel he has an assistant right. Rachel asks if she called and Chandler says she did.
642,Smile and sexy,#Monica# tells #Chandler# to smile and try to look sexy.
643,Wash hands,Ross tells Phoebe that Chandler is washing his hands and Phoebe asks him where he is. Ross tells her that Chandler is washing his hands and Phoebe asks him where he is.
644,Kiss a guy,Ross tells Monica that Chandler and Ross kissed a guy in a bar. Monica thinks Ross is a bad guy and asks Ross why he kissed a guy. Ross thinks Chandler is a bad guy and tells Monica that Chandler kissed a guy.
645,Pregnancy and birth,#Mrs. Green tells Rachel that she didn't read the part about what to do when the baby comes. Rachel worries that she won't be able to throw up in her diaper genie. #Mrs. Green tells Rachel everything's gonna be okay.
646,Maid of honor,Monica tells #Rachel# and #Phoebe# she wants to come up with a system where they trade off being maid of honor for each other. #Rachel# thinks it's a good idea and #Phoebe# agrees.
647,Christmas presents,Chandler suggests Joey to give him a Christmas present that disrupts the entire building.
648,Drum noise,#Monica# tells #Phoebe# that Joey throws his drum sticks in the air every five minutes. #Phoebe# thinks it's normal.
649,A date,Joey picks up Rachel for their date. Rachel is feeling sick and wearing underwear that goes up to her knees. Joey says the place is nice and introduces her to her roommate. Rachel thinks he's gay but Joey says he's not.
650,Competitive nature,#Rachel# and Monica talk about Ross' competitive nature.
651,A problem,Ross forgot to leave his grip size and Joey tells him he forgot to get the goggles. Ross tells him he doesn't want to tell his mother. Monica asks what they are doing here.
652,Women's beauty,Ross and Chandler are talking about the women they want to meet at ten o'clock. Rachel thinks Chandler could meet a beautiful woman but Ross thinks Chandler can't get a woman like that. Monica suggests Chandler could be one of those guys.
653,See the view,"Chandler tells Phoebe that Helen has come to see the view. Chandler asks Helen to sit down and tells her that last time he did that, he promised."
654,Valentine's day,#Chandler# apologizes for his behavior and promises to cook anything and do anything in the kitchen. Monica accepts his apology and they go to the kitchen.
655,Dating rules,#Ross# tells #Elizabeth# that they can't date because it's against the rules. #Elizabeth# tells #Ross# that it's hot and they should get a hot plate.
656,Life in a good place,#Monica# tells Rach she's in a great place in her life.
657,Wedding talk,"#Megan, Monica, Rachel and Phoebe are talking about their weddings. Monica is getting married in May and Megan is getting married in December. Monica's fiancee wants the Swing Kings and Megan's fiancee wants Carcass. They all think it's lucky."
658,A date,"#Chandler, Joey, Ross, Phoebe, and Monica are talking about the next day's date. #Chandler thinks he's right, but #Monica thinks he's too needy. #Chandler thinks #Monica's parents are pressuring her to find one of #Chandler's people. #Chandler tells #Monica he got her machine. #Chandler thinks #Chandler's spontaneous message ended up using the phrase ""Yes indeedy-o."""
659,Invite someone,#Ross# invites Carol to join them. Carol is pregnant and alone. #Ross# thinks it's too weird but #Kristin# thinks it's fine. #Ross# and #Kristin# scooch down to invite Carol.
661,Pick the furniture,Joey and Chandler are discussing the furniture. Joey thinks people will think the furniture is outside again and Chandler thinks the birds are fine dining. They finally decide to get the birds.
662,Coffee date,#Joey# asks Annabelle to go for coffee with him. Annabelle tells #Joey# she has plans.
663,Performance talk,#Monica and Chandler are talking about their performance. Chandler thinks Monica is the best and she thinks he is the best.
